child,parent
PSMB4,R-HSA-9931269
PSMB5,R-HSA-9931269
PSMB6,R-HSA-9931269
PSMB7,R-HSA-9931269
PSMC1,R-HSA-9931269
PSMC2,R-HSA-9931269
PSMC3,R-HSA-9931269
PSMC4,R-HSA-9931269
PSMC5,R-HSA-9931269
PSMC6,R-HSA-9931269
PSMD1,R-HSA-9931269
PSMD11,R-HSA-9931269
PSMD12,R-HSA-9931269
PSMD13,R-HSA-9931269
PSMD14,R-HSA-9931269
PSMD2,R-HSA-9931269
PSMD3,R-HSA-9931269
PSMD6,R-HSA-9931269
PSMD7,R-HSA-9931269
PSMD8,R-HSA-9931269
RNF185,R-HSA-9931269
RNF5,R-HSA-9931269
RPS27A,R-HSA-9931269
SEL1L,R-HSA-9931269
SEM1,R-HSA-9931269
UBA52,R-HSA-9931269
UBB,R-HSA-9931269
UBC,R-HSA-9931269
VCP,R-HSA-9931269
APC,R-HSA-5467333
AMER1,R-HSA-5467337
APC,R-HSA-5467337
AXIN1,R-HSA-5467337
CSNK1A1,R-HSA-5467337
GSK3B,R-HSA-5467337
PPP2CA,R-HSA-5467337
PPP2CB,R-HSA-5467337
PPP2R1A,R-HSA-5467337
PPP2R1B,R-HSA-5467337
PPP2R5A,R-HSA-5467337
PPP2R5B,R-HSA-5467337
PPP2R5C,R-HSA-5467337
PPP2R5D,R-HSA-5467337
PPP2R5E,R-HSA-5467337
ANAPC1,R-HSA-179409
ANAPC10,R-HSA-179409
ANAPC11,R-HSA-179409
ANAPC15,R-HSA-179409
ANAPC16,R-HSA-179409
ANAPC2,R-HSA-179409
ANAPC4,R-HSA-179409
ANAPC5,R-HSA-179409
ANAPC7,R-HSA-179409
BUB1B,R-HSA-179409
BUB3,R-HSA-179409
CDC16,R-HSA-179409
CDC20,R-HSA-179409
CDC23,R-HSA-179409
CDC26,R-HSA-179409
CDC27,R-HSA-179409
MAD2L1,R-HSA-179409
NEK2,R-HSA-179409
RPS27A,R-HSA-179409
UBA52,R-HSA-179409
UBB,R-HSA-179409
UBC,R-HSA-179409
UBE2C,R-HSA-179409
UBE2D1,R-HSA-179409
UBE2E1,R-HSA-179409
UBE2S,R-HSA-179409
ADRM1,R-HSA-174143
ANAPC1,R-HSA-174143
ANAPC10,R-HSA-174143
ANAPC11,R-HSA-174143
ANAPC15,R-HSA-174143
ANAPC16,R-HSA-174143
ANAPC2,R-HSA-174143
ANAPC4,R-HSA-174143
ANAPC5,R-HSA-174143
ANAPC7,R-HSA-174143
AURKA,R-HSA-174143
AURKB,R-HSA-174143
BTRC,R-HSA-174143
BUB1B,R-HSA-174143
BUB3,R-HSA-174143
CCNA1,R-HSA-174143
CCNA2,R-HSA-174143
CCNB1,R-HSA-174143
CDC14A,R-HSA-174143
CDC16,R-HSA-174143
CDC20,R-HSA-174143
CDC23,R-HSA-174143
CDC26,R-HSA-174143
CDC27,R-HSA-174143
CDK1,R-HSA-174143
CDK2,R-HSA-174143
CUL1,R-HSA-174143
FBXO5,R-HSA-174143
FZR1,R-HSA-174143
MAD2L1,R-HSA-174143
NEK2,R-HSA-174143
PLK1,R-HSA-174143
PSMA1,R-HSA-174143
PSMA2,R-HSA-174143
PSMA3,R-HSA-174143
PSMA4,R-HSA-174143
PSMA5,R-HSA-174143
PSMA6,R-HSA-174143
PSMA7,R-HSA-174143
PSMB1,R-HSA-174143
PSMB2,R-HSA-174143
PSMB3,R-HSA-174143
PSMB4,R-HSA-174143
PSMB5,R-HSA-174143
PSMB6,R-HSA-174143
PSMB7,R-HSA-174143
PSMC1,R-HSA-174143
PSMC2,R-HSA-174143
PSMC3,R-HSA-174143
PSMC4,R-HSA-174143
PSMC5,R-HSA-174143
PSMC6,R-HSA-174143
PSMD1,R-HSA-174143
PSMD11,R-HSA-174143
PSMD12,R-HSA-174143
PSMD13,R-HSA-174143
PSMD14,R-HSA-174143
PSMD2,R-HSA-174143
PSMD3,R-HSA-174143
PSMD6,R-HSA-174143
PSMD7,R-HSA-174143
PSMD8,R-HSA-174143
PTTG1,R-HSA-174143
RB1,R-HSA-174143
RPS27A,R-HSA-174143
SEM1,R-HSA-174143
SKP1,R-HSA-174143
SKP2,R-HSA-174143
UBA52,R-HSA-174143
UBB,R-HSA-174143
UBC,R-HSA-174143
UBE2C,R-HSA-174143
UBE2D1,R-HSA-174143
UBE2E1,R-HSA-174143
UBE2S,R-HSA-174143
ANAPC1,R-HSA-174048
ANAPC10,R-HSA-174048
ANAPC11,R-HSA-174048
ANAPC15,R-HSA-174048
ANAPC16,R-HSA-174048
ANAPC2,R-HSA-174048
ANAPC4,R-HSA-174048
ANAPC5,R-HSA-174048
ANAPC7,R-HSA-174048
CCNB1,R-HSA-174048
CDC16,R-HSA-174048
CDC20,R-HSA-174048
CDC23,R-HSA-174048
CDC26,R-HSA-174048
CDC27,R-HSA-174048
CDK1,R-HSA-174048
RPS27A,R-HSA-174048
UBA52,R-HSA-174048
UBB,R-HSA-174048
UBC,R-HSA-174048
UBE2C,R-HSA-174048
UBE2D1,R-HSA-174048
UBE2E1,R-HSA-174048
UBE2S,R-HSA-174048
ADRM1,R-HSA-174154
ANAPC1,R-HSA-174154
ANAPC10,R-HSA-174154
ANAPC11,R-HSA-174154
ANAPC15,R-HSA-174154
ANAPC16,R-HSA-174154
ANAPC2,R-HSA-174154
ANAPC4,R-HSA-174154
ANAPC5,R-HSA-174154
ANAPC7,R-HSA-174154
CDC16,R-HSA-174154
CDC20,R-HSA-174154
CDC23,R-HSA-174154
CDC26,R-HSA-174154
CDC27,R-HSA-174154
PSMA1,R-HSA-174154
PSMA2,R-HSA-174154
PSMA3,R-HSA-174154
PSMA4,R-HSA-174154
PSMA5,R-HSA-174154
PSMA6,R-HSA-174154
PSMA7,R-HSA-174154
PSMB1,R-HSA-174154
PSMB2,R-HSA-174154
PSMB3,R-HSA-174154
PSMB4,R-HSA-174154
PSMB5,R-HSA-174154
PSMB6,R-HSA-174154
PSMB7,R-HSA-174154
PSMC1,R-HSA-174154
PSMC2,R-HSA-174154
PSMC3,R-HSA-174154
PSMC4,R-HSA-174154
PSMC5,R-HSA-174154
PSMC6,R-HSA-174154
PSMD1,R-HSA-174154
PSMD11,R-HSA-174154
PSMD12,R-HSA-174154
PSMD13,R-HSA-174154
PSMD14,R-HSA-174154
PSMD2,R-HSA-174154
PSMD3,R-HSA-174154
PSMD6,R-HSA-174154
PSMD7,R-HSA-174154
PSMD8,R-HSA-174154
PTTG1,R-HSA-174154
RPS27A,R-HSA-174154
SEM1,R-HSA-174154
UBA52,R-HSA-174154
UBB,R-HSA-174154
UBC,R-HSA-174154
UBE2C,R-HSA-174154
UBE2D1,R-HSA-174154
UBE2E1,R-HSA-174154
UBE2S,R-HSA-174154
ADRM1,R-HSA-176409
ANAPC1,R-HSA-176409
ANAPC10,R-HSA-176409
ANAPC11,R-HSA-176409
ANAPC15,R-HSA-176409
ANAPC16,R-HSA-176409
ANAPC2,R-HSA-176409
ANAPC4,R-HSA-176409
ANAPC5,R-HSA-176409
ANAPC7,R-HSA-176409
BUB1B,R-HSA-176409
BUB3,R-HSA-176409
CCNA1,R-HSA-176409
CCNA2,R-HSA-176409
CCNB1,R-HSA-176409
CDC16,R-HSA-176409
CDC20,R-HSA-176409
CDC23,R-HSA-176409
CDC26,R-HSA-176409
CDC27,R-HSA-176409
CDK1,R-HSA-176409
MAD2L1,R-HSA-176409
NEK2,R-HSA-176409
