Gene,SVM_Mean_Abs_SHAP,SVM_Rank
PTGS2,0.04488212623539138,144
PROS1,0.04484881292158754,145
MT-ATP6,0.0445974975655519,146
CCL2,0.044414044316022125,147
UST,0.04441295616151605,148
OR3A2,0.04425824208500251,149
NRG1,0.0439728009984168,150
TNFAIP8L3,0.04384306733601531,151
GPR39,0.04381008676220811,152
ABCB1,0.043713207701670954,153
DPF3,0.0436876288416154,154
SDC2,0.0436046056695882,155
UBB,0.04351360553181008,156
CALB1,0.043414132951366785,157
OR51E2,0.04332597154768147,158
SLC24A3,0.043298733510358525,159
RNLS,0.04291334115552223,160
HSPA1B,0.04266009892520225,161
LTF,0.04253898887352059,162
NRP2,0.04250671437205683,163
RIPOR2,0.04245963327302294,164
TTN,0.04225457644283554,165
KIF6,0.041847397384671865,166
POU3F1,0.041767115864425546,167
LRRC1,0.041748255596728664,168
PSMA1,0.041386114702344316,169
KIF14,0.04096666268769961,170
ADAMTS1,0.04083497942139878,171
MAN2A1,0.040809456260981654,172
GRM7,0.04074870518459211,173
LOXL2,0.04061821263271798,174
EPHA3,0.0405392539598294,175
SDK1,0.040331678728146976,176
NNMT,0.040251403420186446,177
THBS2,0.04010927163891549,178
ATP11C,0.03966602342359289,179
HSPA8,0.03962375608265323,180
PAPPA,0.03951185502735713,181
PENK,0.039263006114080526,182
MCUB,0.0391397003111084,183
GBP1,0.0390790540354724,184
CKB,0.03900601532436929,185
KCNE4,0.038954077963512364,186
GRIK1,0.03889133618333045,187
PDE7B,0.03876885933128764,188
ACSBG1,0.03868055970659493,189
PLIN2,0.03856487162983256,190
ADAM12,0.03854946714968844,191
JUN,0.03846066123731213,192
ST6GAL1,0.03845694785497769,193
XRCC4,0.03837267125462952,194
EYA2,0.03834137273615803,195
DSCAML1,0.03817948878886643,196
KCNH1,0.03802201645605592,197
ADAM33,0.03799798593749309,198
PLA2G4A,0.03797044699526529,199
LMOD1,0.03786355188074154,200
GPAT3,0.03769662426294639,201
PLPP1,0.03763860393395301,202
GNG4,0.03756962692407459,203
ERBB4,0.037484992982976514,204
SLC7A5,0.03748302976934891,205
B3GLCT,0.037385379203794644,206
ADRA1B,0.03735559868440988,207
ADH1B,0.037338173496642695,208
CH25H,0.037278199795877175,209
USH1C,0.037206104784877805,210
KCNAB1,0.037082960542973276,211
CYP7B1,0.03692316176988401,212
EEPD1,0.03687266566720572,213
HTR4,0.03686715965726599,214
CCNG2,0.03672248712774177,215
F13A1,0.03652410872532339,216
CXCL2,0.03647795843257816,217
SLC1A2,0.03616660640680969,218
EGF,0.036162865916423655,219
TRPC5,0.0361080947332422,220
PLD1,0.03604506568432779,221
PRKG1,0.03576061460463399,222
GLYATL2,0.03570325404302717,223
CST3,0.035602226556724785,224
HRH1,0.035573496887391934,225
MYBPC1,0.035378539459775434,226
HS3ST5,0.03519483207894911,227
ATP8B1,0.03516238054661766,228
ID3,0.035000476926231434,229
MAPK4,0.03496271540685535,230
HS3ST3A1,0.03496203760890546,231
HTR2C,0.03494364404691356,232
DCN,0.03488392926502103,233
ZFP36,0.034874219940120944,234
PDGFD,0.03483978560498484,235
CDH23,0.034833053579886204,236
ADAMTS19,0.03481095524328943,237
IL7R,0.03472689143904674,238
FBXO32,0.034708211505464465,239
RSAD2,0.03457421904456785,240
MID1,0.03454571778786668,241
IGFBP3,0.03449475705219078,242
HILPDA,0.034203201898143624,243
KLRF1,0.034021786176319846,244
ZNF331,0.033831119507557524,245
PVALB,0.033826458733779326,246
CAMK2D,0.03377933702818163,247
RND3,0.033722300232416735,248
ABCB11,0.03369593688270505,249
MYOCD,0.033543117526016505,250
MGAM,0.033454267272192785,251
HSP90AA1,0.03333231921252254,252
COL22A1,0.033303709853229765,253
TUBB2A,0.03314351449433927,254
SOX4,0.03305353678607285,255
BRIP1,0.03285785074933183,256
CRLF2,0.03285626763780423,257
ME1,0.03283012095634502,258
COL6A3,0.03277817123147898,259
CXCL1,0.03271541658761734,260
NCALD,0.03267798940077357,261
LYZ,0.03264948576913706,262
ROBO1,0.032407889698888546,263
CD44,0.03231587640142093,264
PLA2R1,0.03228262888986922,265
RUNX1,0.03192529132152682,266
THSD7A,0.03191230654946798,267
ANGPTL4,0.0317968919203215,268
MAP2K6,0.03171612050852442,269
GNB4,0.03166318615207552,270
CDON,0.031662931398059015,271
PRKAG2,0.03159109895181595,272
KCNS3,0.03151337656682456,273
ONECUT1,0.031488683213340925,274
APBB1IP,0.031136668477877657,275
MYLK,0.03111893553974008,276
RGS1,0.03110909246347477,277
OSBPL3,0.03095619187757998,278
CENPP,0.030954451822329802,279
IL12RB2,0.030921089976240466,280
KANK1,0.030878339348158666,281
ADGRG6,0.03085953397453104,282
ROR1,0.030805013246776557,283
PDYN,0.03074119423070854,284
SLC16A10,0.030652424059967584,285
COL5A2,0.030608868502683295,286
GALNT10,0.03054639894862558,287
PCDH15,0.030512979382357978,288
CABLES1,0.030420017158914823,289
RGS5,0.030397325202768617,290
ABCC4,0.030353234199354606,291
PPARG,0.03011258053589869,292
PTN,0.03007222953891496,293
QRFPR,0.0300496492424598,294
CXCL13,0.029919973506809906,295
EDA,0.0298533576133627,296
ADAMTS3,0.029815075780617886,297
ITGA6,0.029699042295649927,298
PRKCH,0.029599941043386212,299
KCNIP1,0.029470681826051226,300
LEF1,0.02940174535448861,301
EPM2A,0.029364656625427043,302
DENND2A,0.029270160674414337,303
DAB1,0.02915551010002213,304
SPARC,0.029145928950654737,305
SYT10,0.028802618214387888,306
ST8SIA4,0.02877849471003997,307
SLC14A2,0.02875805533278987,308
FILIP1,0.02867738521971247,309
MAMLD1,0.02865756601828775,310
FAR2,0.02863279807264425,311
ST6GALNAC3,0.02860765877710408,312
CD163,0.02859758178265653,313
SPOCK3,0.028548320839304645,314
TDO2,0.02849642299315251,315
AURKB,0.02838066986210044,316
UTY,0.02832958892439513,317
CRH,0.02809195588212243,318
KMO,0.028033790901773877,319
ALDH1A1,0.027971281105701597,320
GAPDH,0.027868260751283725,321
MT-CYB,0.027805921976913325,322
ATF3,0.027804407047801342,323
PRKD1,0.027801183839740888,324
ARHGEF28,0.02768578731112727,325
DHFR,0.02768421303268856,326
KLRD1,0.02764091191392355,327
MYO5B,0.02763643442144569,328
ADM,0.027590882099487426,329
BUB1,0.02756998122827972,330
ARC,0.027467630841284937,331
DUSP2,0.02735080256019141,332
SLC26A7,0.02723557092680854,333
CDH8,0.02723535788690048,334
ZC3HAV1,0.027230751415526642,335
KLRC1,0.02721438012840422,336
KITLG,0.027195372940613995,337
FSHR,0.027096827997280675,338
UTRN,0.02706732169877587,339
CALCA,0.027033008546747006,340
NPNT,0.02702788058745433,341
TPK1,0.026828986277490027,342
TOP2A,0.026794516747871835,343
HGF,0.02672018931656983,344
SSTR2,0.026717491935885813,345
ELAVL2,0.026614653665817434,346
HSPA5,0.026612880740665017,347
CFH,0.02652719741151766,348
SPON1,0.026508648665218734,349
COL15A1,0.026368886225937378,350
NRP1,0.026286900774948205,351
EXT1,0.02621811433046278,352
GRIK3,0.02621175516978693,353
PDE1A,0.026209797212672525,354
WWTR1,0.026192003559556285,355
NFIB,0.026125520705600525,356
CDH18,0.026005676140072195,357
SCG2,0.026005063576898763,358
MT-ND1,0.025972922374452184,359
ANO3,0.02593789961168831,360
CLIC5,0.025898774730585175,361
NR6A1,0.025859339500908025,362
ITGA9,0.02541722410076747,363
JAML,0.02538292038789828,364
EPHB1,0.02531614645928891,365
DUSP5,0.025290965119201717,366
CLU,0.025122539638085747,367
CLDN16,0.02506264102621259,368
DKK2,0.024905518761824053,369
ITGBL1,0.024861942301504073,370
TUBA1B,0.024843654881083935,371
PARD3,0.024808053511382856,372
UBC,0.024760884411462004,373
HSPH1,0.0247194464442188,374
STAT4,0.02459516729969905,375
CRADD,0.024446932920369605,376
BCL2,0.024296413403020578,377
NOX5,0.024218831215837792,378
NR4A3,0.024101245059561356,379
MAML2,0.024058037131819372,380
TNIP3,0.02397854932717776,381
CA2,0.023950160944355037,382
PIK3C2G,0.023783455508229932,383
ACTG1,0.023768063430298095,384
IGFBP5,0.023766131987016794,385
FLRT2,0.023655733760693978,386
EBF2,0.02365306372638478,387
ANGPT1,0.02362614849942085,388
DOK5,0.023622178492943537,389
ACTN2,0.023612072194836353,390
MT1E,0.023587712498506185,391
NLGN4Y,0.023522651066777388,392
ARHGAP10,0.023517658610199978,393
HSD11B1,0.023482403181547932,394
ANXA1,0.023439659966245103,395
MSR1,0.023413505384778967,396
HMOX1,0.02339821850073571,397
G0S2,0.023395928765127486,398
NFATC2,0.023371924856554316,399
ANK1,0.023327599037159613,400
ARHGAP25,0.02329836202530077,401
VIM,0.02319809476943753,402
ABHD3,0.02313913061046572,403
BMPR1B,0.02308241973465016,404
KCNMB4,0.022986385099776425,405
LTBP1,0.022970314339160015,406
RGS12,0.022967918646144826,407
DSCAM,0.02287223861798646,408
ADRA1A,0.022865306266428315,409
RBFOX1,0.02281124981208487,410
SLC8A3,0.02279796041276784,411
ELOVL5,0.02274994530108727,412
B3GALT5,0.02269718669993469,413
VIP,0.022667401506243638,414
NTN4,0.022603713941935184,415
LGR4,0.0225985319629428,416
VEGFA,0.02256927178721731,417
SLC26A4,0.022568585299121362,418
TAC1,0.022542357874940765,419
EPSTI1,0.022376461154738358,420
PDE1C,0.022290286598184383,421
CCDC88C,0.02224535821462912,422
SLC7A2,0.022224862702180093,423
GPX3,0.0222231657884671,424
LY96,0.022200849662594377,425
MYL9,0.022103937459545996,426
COLEC10,0.022047385668503137,427
HSPB1,0.02203758466698375,428
FNBP1L,0.022014121005535833,429
TNFRSF11B,0.02197864927769422,430
FRK,0.021933117695933913,431
PCSK6,0.021914669566472596,432
LGR6,0.021892902450805666,433
RRAD,0.021817501434064954,434
GRIN3A,0.02181108745936654,435
KCNIP4,0.02177682662154139,436
TWIST2,0.02175018708859244,437
UNC5C,0.021735823855881305,438
CDKN2A,0.021705490342896434,439
IFI6,0.021467397959602754,440
SEMA3E,0.021444774153703335,441
PPP1R3C,0.02143018134129873,442
GABRR3,0.021406515402852728,443
ACTB,0.02135309297598623,444
FOXO1,0.021327867060909948,445
LBP,0.021214255773392424,446
NEURL1B,0.021175311730638226,447
MT1X,0.021170504534989,448
CDH6,0.021139854047735405,449
TIMP1,0.021138852637891756,450
P2RY14,0.02112452239334701,451
COL21A1,0.021096629973110907,452
TLL1,0.021066552288568068,453
ANGPT2,0.02105298071718612,454
ABCB4,0.02091847707944273,455
DTNA,0.020899205646385643,456
NR4A2,0.020814295809461984,457
EGR1,0.020784676678344268,458
LGALS1,0.020772077729696303,459
RND1,0.02070466159276331,460
LIPG,0.02063933174911613,461
LAMA2,0.020524132323524433,462
NMNAT3,0.02035852427312455,463
SGCG,0.020357415497137234,464
IGFBP2,0.0203548388319447,465
FGFR1,0.020332368745170568,466
CALCR,0.02032346209987712,467
SST,0.020258376935653865,468
BDNF,0.02016333490884978,469
GLUL,0.020127659743644846,470
PREX2,0.020125980999018633,471
IGF1,0.020062940795014236,472
ELOVL7,0.020056445891700515,473
ST3GAL6,0.020045990066673864,474
SMYD1,0.0200456428724788,475
ALK,0.01995278615217056,476
NPFFR2,0.019937628083060134,477
ARHGAP15,0.01993178797578654,478
RYR3,0.019901103170358654,479
ESR1,0.019843406833265975,480
GRIK4,0.019768218131732213,481
KIT,0.019585792392363955,482
TEX15,0.019546053547992458,483
TFPI,0.01950148294389773,484
CACNB4,0.01948363059055881,485
TXK,0.019456840603846448,486
OPRM1,0.019442230650015584,487
RORA,0.01941627992838676,488
CXCL8,0.019395854126023467,489
NR4A1,0.019383649507676577,490
ANO4,0.01937139161906331,491
DOCK5,0.019150842926399323,492
TRDN,0.018990099953461508,493
LRAT,0.018769572827513285,494
NEFL,0.01876046050715917,495
SLC38A1,0.01868376335591331,496
SPP1,0.018564192020782647,497
MET,0.01855355326364939,498
STEAP4,0.01848086091982306,499
ZNF521,0.01842098559475443,500
PLPPR1,0.018394086398284767,501
ARHGAP24,0.018269676379586368,502
TRIM5,0.01826471648151612,503
FST,0.018230056307273354,504
FOXP2,0.018194635866467267,505
S100A9,0.01816275863582144,506
CDKN1A,0.018135015605103794,507
PLPP4,0.018110173440318022,508
PTGDR,0.018107058013202268,509
COL4A4,0.01810051435429047,510
MPP7,0.018080316757323182,511
